accession,filename,url,assembly,file_format,file_format_type,output_type,output_category,dataset
ENCFF416HOG,ENCFF416HOG.tsv,https://www.encodeproject.org/files/ENCFF416HOG/@@download/ENCFF416HOG.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR381OTM/
ENCFF297SFW,ENCFF297SFW.tsv,https://www.encodeproject.org/files/ENCFF297SFW/@@download/ENCFF297SFW.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR420ZKB/
ENCFF892DOQ,ENCFF892DOQ.tsv,https://www.encodeproject.org/files/ENCFF892DOQ/@@download/ENCFF892DOQ.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR636LEU/
ENCFF410GKZ,ENCFF410GKZ.tsv,https://www.encodeproject.org/files/ENCFF410GKZ/@@download/ENCFF410GKZ.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR636LEU/
ENCFF154PPT,ENCFF154PPT.tsv,https://www.encodeproject.org/files/ENCFF154PPT/@@download/ENCFF154PPT.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR146ZSP/
ENCFF429NOU,ENCFF429NOU.tsv,https://www.encodeproject.org/files/ENCFF429NOU/@@download/ENCFF429NOU.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR636LEU/
ENCFF758JPT,ENCFF758JPT.tsv,https://www.encodeproject.org/files/ENCFF758JPT/@@download/ENCFF758JPT.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR146ZSP/
ENCFF035XRV,ENCFF035XRV.tsv,https://www.encodeproject.org/files/ENCFF035XRV/@@download/ENCFF035XRV.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR735JKB/
ENCFF695MAF,ENCFF695MAF.tsv,https://www.encodeproject.org/files/ENCFF695MAF/@@download/ENCFF695MAF.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CUH/
ENCFF577DEC,ENCFF577DEC.tsv,https://www.encodeproject.org/files/ENCFF577DEC/@@download/ENCFF577DEC.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CPM/
