accession,filename,url,assembly,file_format,file_format_type,output_type,output_category,dataset
ENCFF035QQQ,ENCFF035QQQ.bigBed,https://www.encodeproject.org/files/ENCFF035QQQ/@@download/ENCFF035QQQ.bigBed,GRCh38,bigBed,bedMethyl,methylation state at CpG,quantification,/experiments/ENCSR440MLE/
ENCFF959WCA,ENCFF959WCA.bed.gz,https://www.encodeproject.org/files/ENCFF959WCA/@@download/ENCFF959WCA.bed.gz,GRCh38,bed,bedMethyl,methylation state at CpG,quantification,/experiments/ENCSR440MLE/
ENCFF525CZN,ENCFF525CZN.bed.gz,https://www.encodeproject.org/files/ENCFF525CZN/@@download/ENCFF525CZN.bed.gz,GRCh38,bed,bed9+,methylation state at CpG,quantification,/experiments/ENCSR625HZA/
ENCFF484ZOW,ENCFF484ZOW.bed.gz,https://www.encodeproject.org/files/ENCFF484ZOW/@@download/ENCFF484ZOW.bed.gz,GRCh38,bed,bed9+,methylation state at CpG,quantification,/experiments/ENCSR467QPI/
ENCFF290ZIH,ENCFF290ZIH.bigBed,https://www.encodeproject.org/files/ENCFF290ZIH/@@download/ENCFF290ZIH.bigBed,GRCh38,bigBed,bed9+,methylation state at CpG,quantification,/experiments/ENCSR467QPI/
ENCFF254DBF,ENCFF254DBF.bed.gz,https://www.encodeproject.org/files/ENCFF254DBF/@@download/ENCFF254DBF.bed.gz,GRCh38,bed,bedMethyl,methylation state at CpG,quantification,/experiments/ENCSR467QPI/
ENCFF914ZIC,ENCFF914ZIC.bigBed,https://www.encodeproject.org/files/ENCFF914ZIC/@@download/ENCFF914ZIC.bigBed,GRCh38,bigBed,bed9+,methylation state at CpG,quantification,/experiments/ENCSR625HZA/
ENCFF422ZHM,ENCFF422ZHM.bigBed,https://www.encodeproject.org/files/ENCFF422ZHM/@@download/ENCFF422ZHM.bigBed,GRCh38,bigBed,bed9+,methylation state at CpG,quantification,/experiments/ENCSR625HZA/
ENCFF579UDU,ENCFF579UDU.bed.gz,https://www.encodeproject.org/files/ENCFF579UDU/@@download/ENCFF579UDU.bed.gz,GRCh38,bed,bed9+,methylation state at CpG,quantification,/experiments/ENCSR467QPI/
ENCFF691GYA,ENCFF691GYA.bigBed,https://www.encodeproject.org/files/ENCFF691GYA/@@download/ENCFF691GYA.bigBed,GRCh38,bigBed,bed9+,methylation state at CpG,quantification,/experiments/ENCSR467QPI/
ENCFF293TKD,ENCFF293TKD.bigBed,https://www.encodeproject.org/files/ENCFF293TKD/@@download/ENCFF293TKD.bigBed,GRCh38,bigBed,bedMethyl,methylation state at CpG,quantification,/experiments/ENCSR440MLE/
ENCFF084CJK,ENCFF084CJK.bigBed,https://www.encodeproject.org/files/ENCFF084CJK/@@download/ENCFF084CJK.bigBed,GRCh38,bigBed,bed9+,methylation state at CpG,quantification,/experiments/ENCSR440MLE/
ENCFF170XYJ,ENCFF170XYJ.bed.gz,https://www.encodeproject.org/files/ENCFF170XYJ/@@download/ENCFF170XYJ.bed.gz,GRCh38,bed,bed9+,methylation state at CpG,quantification,/experiments/ENCSR440MLE/
ENCFF840XVU,ENCFF840XVU.bed.gz,https://www.encodeproject.org/files/ENCFF840XVU/@@download/ENCFF840XVU.bed.gz,GRCh38,bed,bed9+,methylation state at CpG,quantification,/experiments/ENCSR625HZA/
ENCFF437PPY,ENCFF437PPY.bigBed,https://www.encodeproject.org/files/ENCFF437PPY/@@download/ENCFF437PPY.bigBed,GRCh38,bigBed,bed9+,methylation state at CpG,quantification,/experiments/ENCSR440MLE/
ENCFF180KSA,ENCFF180KSA.bed.gz,https://www.encodeproject.org/files/ENCFF180KSA/@@download/ENCFF180KSA.bed.gz,GRCh38,bed,bed9+,methylation state at CpG,quantification,/experiments/ENCSR440MLE/
ENCFF404JRI,ENCFF404JRI.bed.gz,https://www.encodeproject.org/files/ENCFF404JRI/@@download/ENCFF404JRI.bed.gz,GRCh38,bed,bed9+,methylation state at CpG,quantification,/experiments/ENCSR888FON/
ENCFF591PKF,ENCFF591PKF.bigBed,https://www.encodeproject.org/files/ENCFF591PKF/@@download/ENCFF591PKF.bigBed,GRCh38,bigBed,bed9+,methylation state at CpG,quantification,/experiments/ENCSR888FON/
ENCFF714SUO,ENCFF714SUO.bed.gz,https://www.encodeproject.org/files/ENCFF714SUO/@@download/ENCFF714SUO.bed.gz,GRCh38,bed,bedMethyl,methylation state at CpG,quantification,/experiments/ENCSR440MLE/
ENCFF116DGM,ENCFF116DGM.bed.gz,https://www.encodeproject.org/files/ENCFF116DGM/@@download/ENCFF116DGM.bed.gz,GRCh38,bed,bedMethyl,methylation state at CpG,quantification,/experiments/ENCSR625HZA/
ENCFF752NXS,ENCFF752NXS.bed.gz,https://www.encodeproject.org/files/ENCFF752NXS/@@download/ENCFF752NXS.bed.gz,GRCh38,bed,bedMethyl,methylation state at CpG,quantification,/experiments/ENCSR625HZA/
