gene_id_entrez,chrom,start,end,mean_methylation,mean_expression
100500912,chr8,1799282,1799283,0,0.00826086956521739
100500912,chr8,1799283,1799284,0,0.00826086956521739
100500912,chr8,1799503,1799504,100,0.00826086956521739
100500912,chr8,1799504,1799505,100,0.00826086956521739
100500912,chr8,1799547,1799548,63,0.00826086956521739
100500912,chr8,1799548,1799549,47,0.00826086956521739
100500912,chr8,1799732,1799733,11,0.00826086956521739
100500912,chr8,1799733,1799734,8,0.00826086956521739
100500912,chr8,1799846,1799847,88,0.00826086956521739
100500912,chr8,1799847,1799848,100,0.00826086956521739
100500912,chr8,1799857,1799858,100,0.00826086956521739
100500912,chr8,1799858,1799859,100,0.00826086956521739
100500912,chr8,1799889,1799890,100,0.00826086956521739
100500912,chr8,1799890,1799891,73,0.00826086956521739
100500912,chr8,1799951,1799952,0,0.00826086956521739
100500912,chr8,1799952,1799953,6,0.00826086956521739
100500912,chr8,1800104,1800105,4,0.00826086956521739
100500912,chr8,1800105,1800106,0,0.00826086956521739
100500912,chr8,1800286,1800287,44,0.00826086956521739
100500912,chr8,1800287,1800288,44,0.00826086956521739
100500912,chr8,1800294,1800295,28,0.00826086956521739
100500912,chr8,1800295,1800296,28,0.00826086956521739
100500912,chr8,1800370,1800371,0,0.00826086956521739
100500912,chr8,1800371,1800372,0,0.00826086956521739
100500912,chr8,1800399,1800400,0,0.00826086956521739
100500912,chr8,1800400,1800401,0,0.00826086956521739
100500912,chr8,1800430,1800431,9,0.00826086956521739
100500912,chr8,1800431,1800432,7,0.00826086956521739
100500912,chr8,1800473,1800474,67,0.00826086956521739
100500912,chr8,1800474,1800475,56,0.00826086956521739
100500912,chr8,1800573,1800574,53,0.00826086956521739
100500912,chr8,1800574,1800575,40,0.00826086956521739
100500912,chr8,1800583,1800584,71,0.00826086956521739
100500912,chr8,1800584,1800585,35,0.00826086956521739
100500912,chr8,1800619,1800620,75,0.00826086956521739
100500912,chr8,1800620,1800621,65,0.00826086956521739
100500912,chr8,1800649,1800650,59,0.00826086956521739
100500912,chr8,1800650,1800651,63,0.00826086956521739
100500912,chr8,1800708,1800709,100,0.00826086956521739
100500912,chr8,1800709,1800710,85,0.00826086956521739
100500912,chr8,1800727,1800728,100,0.00826086956521739
100500912,chr8,1800728,1800729,93,0.00826086956521739
100500912,chr8,1800758,1800759,83,0.00826086956521739
100500912,chr8,1800759,1800760,85,0.00826086956521739
100500912,chr8,1800770,1800771,100,0.00826086956521739
100500912,chr8,1800771,1800772,100,0.00826086956521739
100500912,chr8,1800851,1800852,44,0.00826086956521739
100500912,chr8,1800852,1800853,41,0.00826086956521739
100500912,chr8,1800964,1800965,61,0.00826086956521739
100500912,chr8,1800965,1800966,71,0.00826086956521739
