accession,chrom,start,end,strand,methylation_percent
ENCFF959WCA,chr8,60406,60407,+,0
ENCFF959WCA,chr8,60407,60408,-,0
ENCFF959WCA,chr8,60421,60422,+,0
ENCFF959WCA,chr8,60422,60423,-,0
ENCFF959WCA,chr8,60497,60498,+,0
ENCFF959WCA,chr8,60498,60499,-,100
ENCFF959WCA,chr8,60552,60553,+,0
ENCFF959WCA,chr8,60553,60554,-,100
ENCFF959WCA,chr8,60780,60781,+,0
ENCFF959WCA,chr8,60781,60782,-,0
ENCFF959WCA,chr8,60860,60861,+,0
ENCFF959WCA,chr8,60861,60862,-,0
ENCFF959WCA,chr8,60886,60887,+,0
ENCFF959WCA,chr8,60887,60888,-,0
ENCFF959WCA,chr8,60925,60926,+,0
ENCFF959WCA,chr8,60926,60927,-,0
ENCFF959WCA,chr8,61046,61047,+,0
ENCFF959WCA,chr8,61047,61048,-,0
ENCFF959WCA,chr8,61063,61064,+,0
ENCFF959WCA,chr8,61064,61065,-,0
ENCFF959WCA,chr8,61100,61101,+,0
ENCFF959WCA,chr8,61101,61102,-,0
ENCFF959WCA,chr8,61613,61614,+,0
ENCFF959WCA,chr8,61614,61615,-,100
ENCFF959WCA,chr8,61631,61632,+,0
ENCFF959WCA,chr8,61632,61633,-,100
ENCFF959WCA,chr8,61642,61643,+,0
ENCFF959WCA,chr8,61643,61644,-,100
ENCFF959WCA,chr8,61712,61713,+,0
ENCFF959WCA,chr8,61713,61714,-,0
ENCFF959WCA,chr8,61736,61737,+,0
ENCFF959WCA,chr8,61737,61738,-,17
ENCFF959WCA,chr8,61787,61788,+,0
ENCFF959WCA,chr8,61788,61789,-,0
ENCFF959WCA,chr8,61883,61884,+,0
ENCFF959WCA,chr8,61884,61885,-,0
ENCFF959WCA,chr8,62022,62023,+,0
ENCFF959WCA,chr8,62023,62024,-,0
ENCFF959WCA,chr8,62347,62348,+,0
ENCFF959WCA,chr8,62348,62349,-,0
ENCFF959WCA,chr8,62421,62422,+,67
ENCFF959WCA,chr8,62422,62423,-,0
ENCFF959WCA,chr8,62579,62580,+,100
ENCFF959WCA,chr8,62580,62581,-,100
ENCFF959WCA,chr8,62591,62592,+,100
ENCFF959WCA,chr8,62592,62593,-,100
ENCFF959WCA,chr8,62746,62747,+,0
ENCFF959WCA,chr8,62747,62748,-,100
ENCFF959WCA,chr8,62763,62764,+,0
ENCFF959WCA,chr8,62764,62765,-,100
ENCFF959WCA,chr8,62845,62846,+,0
ENCFF959WCA,chr8,62846,62847,-,0
ENCFF959WCA,chr8,62971,62972,+,0
ENCFF959WCA,chr8,62972,62973,-,0
ENCFF959WCA,chr8,63230,63231,+,0
ENCFF959WCA,chr8,63231,63232,-,0
ENCFF959WCA,chr8,63252,63253,+,0
ENCFF959WCA,chr8,63253,63254,-,100
ENCFF959WCA,chr8,63320,63321,+,100
ENCFF959WCA,chr8,63321,63322,-,0
ENCFF959WCA,chr8,63339,63340,+,50
ENCFF959WCA,chr8,63340,63341,-,0
ENCFF959WCA,chr8,63370,63371,+,57
ENCFF959WCA,chr8,63371,63372,-,0
ENCFF959WCA,chr8,63405,63406,+,45
ENCFF959WCA,chr8,63406,63407,-,0
ENCFF959WCA,chr8,63578,63579,+,0
ENCFF959WCA,chr8,63579,63580,-,0
ENCFF959WCA,chr8,63689,63690,+,0
ENCFF959WCA,chr8,63690,63691,-,0
ENCFF959WCA,chr8,63738,63739,+,60
ENCFF959WCA,chr8,63739,63740,-,0
ENCFF959WCA,chr8,63801,63802,+,0
ENCFF959WCA,chr8,63802,63803,-,0
ENCFF959WCA,chr8,64085,64086,+,0
ENCFF959WCA,chr8,64086,64087,-,0
ENCFF959WCA,chr8,64094,64095,+,0
ENCFF959WCA,chr8,64095,64096,-,0
ENCFF959WCA,chr8,64624,64625,+,0
ENCFF959WCA,chr8,64625,64626,-,80
ENCFF959WCA,chr8,64692,64693,+,0
ENCFF959WCA,chr8,64693,64694,-,33
ENCFF959WCA,chr8,64705,64706,+,0
ENCFF959WCA,chr8,64706,64707,-,50
ENCFF959WCA,chr8,64801,64802,+,100
ENCFF959WCA,chr8,64802,64803,-,100
ENCFF959WCA,chr8,65175,65176,+,50
ENCFF959WCA,chr8,65176,65177,-,0
ENCFF959WCA,chr8,65339,65340,+,0
ENCFF959WCA,chr8,65340,65341,-,0
ENCFF959WCA,chr8,65390,65391,+,0
ENCFF959WCA,chr8,65391,65392,-,0
ENCFF959WCA,chr8,65577,65578,+,50
ENCFF959WCA,chr8,65578,65579,-,0
ENCFF959WCA,chr8,65650,65651,+,0
ENCFF959WCA,chr8,65651,65652,-,0
ENCFF959WCA,chr8,66448,66449,+,0
ENCFF959WCA,chr8,66449,66450,-,33
ENCFF959WCA,chr8,66475,66476,+,0
ENCFF959WCA,chr8,66476,66477,-,0
ENCFF959WCA,chr8,66833,66834,+,0
ENCFF959WCA,chr8,66834,66835,-,0
ENCFF959WCA,chr8,66929,66930,+,0
ENCFF959WCA,chr8,66930,66931,-,0
ENCFF959WCA,chr8,66938,66939,+,0
ENCFF959WCA,chr8,66939,66940,-,0
ENCFF959WCA,chr8,66943,66944,+,0
ENCFF959WCA,chr8,66944,66945,-,0
ENCFF959WCA,chr8,66987,66988,+,0
ENCFF959WCA,chr8,66988,66989,-,0
ENCFF959WCA,chr8,67301,67302,+,0
ENCFF959WCA,chr8,67302,67303,-,0
ENCFF959WCA,chr8,67332,67333,+,0
ENCFF959WCA,chr8,67333,67334,-,0
ENCFF959WCA,chr8,67403,67404,+,0
ENCFF959WCA,chr8,67404,67405,-,0
ENCFF959WCA,chr8,67658,67659,+,0
ENCFF959WCA,chr8,67659,67660,-,0
ENCFF959WCA,chr8,67782,67783,+,100
ENCFF959WCA,chr8,67783,67784,-,0
ENCFF959WCA,chr8,67893,67894,+,60
ENCFF959WCA,chr8,67894,67895,-,0
ENCFF959WCA,chr8,67939,67940,+,40
ENCFF959WCA,chr8,67940,67941,-,0
ENCFF959WCA,chr8,67966,67967,+,25
ENCFF959WCA,chr8,67967,67968,-,0
ENCFF959WCA,chr8,68034,68035,+,0
ENCFF959WCA,chr8,68035,68036,-,0
ENCFF959WCA,chr8,68065,68066,+,0
ENCFF959WCA,chr8,68066,68067,-,0
ENCFF959WCA,chr8,68069,68070,+,0
ENCFF959WCA,chr8,68070,68071,-,0
ENCFF959WCA,chr8,68089,68090,+,0
ENCFF959WCA,chr8,68090,68091,-,0
ENCFF959WCA,chr8,68096,68097,+,0
ENCFF959WCA,chr8,68097,68098,-,0
ENCFF959WCA,chr8,68138,68139,+,0
ENCFF959WCA,chr8,68139,68140,-,0
ENCFF959WCA,chr8,68153,68154,+,0
ENCFF959WCA,chr8,68154,68155,-,0
ENCFF959WCA,chr8,68265,68266,+,0
ENCFF959WCA,chr8,68266,68267,-,100
ENCFF959WCA,chr8,68274,68275,+,0
ENCFF959WCA,chr8,68275,68276,-,100
ENCFF959WCA,chr8,68340,68341,+,0
ENCFF959WCA,chr8,68341,68342,-,0
ENCFF959WCA,chr8,68345,68346,+,0
ENCFF959WCA,chr8,68346,68347,-,0
ENCFF959WCA,chr8,68389,68390,+,0
ENCFF959WCA,chr8,68390,68391,-,0
ENCFF959WCA,chr8,68411,68412,+,0
ENCFF959WCA,chr8,68412,68413,-,0
ENCFF959WCA,chr8,68429,68430,+,0
ENCFF959WCA,chr8,68430,68431,-,0
ENCFF959WCA,chr8,68460,68461,+,0
ENCFF959WCA,chr8,68461,68462,-,0
ENCFF959WCA,chr8,68482,68483,+,0
ENCFF959WCA,chr8,68483,68484,-,0
ENCFF959WCA,chr8,68487,68488,+,0
ENCFF959WCA,chr8,68488,68489,-,0
ENCFF959WCA,chr8,68500,68501,+,0
ENCFF959WCA,chr8,68501,68502,-,0
ENCFF959WCA,chr8,68548,68549,+,0
ENCFF959WCA,chr8,68549,68550,-,0
ENCFF959WCA,chr8,68791,68792,+,100
ENCFF959WCA,chr8,68792,68793,-,0
ENCFF959WCA,chr8,68937,68938,+,0
ENCFF959WCA,chr8,68938,68939,-,0
ENCFF959WCA,chr8,69144,69145,+,0
ENCFF959WCA,chr8,69145,69146,-,0
ENCFF959WCA,chr8,69283,69284,+,0
ENCFF959WCA,chr8,69284,69285,-,0
ENCFF959WCA,chr8,69613,69614,+,0
ENCFF959WCA,chr8,69614,69615,-,0
ENCFF959WCA,chr8,70156,70157,+,0
ENCFF959WCA,chr8,70157,70158,-,0
ENCFF959WCA,chr8,70236,70237,+,0
ENCFF959WCA,chr8,70237,70238,-,0
ENCFF959WCA,chr8,70427,70428,+,0
ENCFF959WCA,chr8,70428,70429,-,0
ENCFF959WCA,chr8,70465,70466,+,100
ENCFF959WCA,chr8,70466,70467,-,0
ENCFF959WCA,chr8,70479,70480,+,100
ENCFF959WCA,chr8,70480,70481,-,0
ENCFF959WCA,chr8,70554,70555,+,100
ENCFF959WCA,chr8,70555,70556,-,0
